gene_symbol,protein_name,functional_category,subcellular_localization,notes_from_paper
S100A5,S100 calcium-binding protein A5,other_or_unknown,nucleus,EF-hand; Cu-binding S100 family
S100A12,S100 calcium-binding protein A12,other_or_unknown,cell_membrane|cytoskeleton|cytoplasm|extracellular_space,EF-hand; Cu-binding S100 family
S100A13,S100 calcium-binding protein A13,other_or_unknown,cytoplasm|extracellular_space,EF-hand; Cu-binding S100 family
S100B,S100 calcium-binding protein B,other_or_unknown,nucleus|extracellular_space,EF-hand; frequently downregulated in cancers
SNCA,Alpha-synuclein,other_or_unknown,cell_membrane|cytoplasm|nucleus|extracellular_space,Amyloidogenic; Cu role unclear; frequently downregulated
SPARC,Secreted protein acidic and cysteine rich,other_or_unknown,extracellular_space,Collagen-binding glycoprotein; invasion/metastasis; added from literature
H3-3A,Histone H3.3 variant A,enzyme,nucleus,H3-H4 tetramer Cu2+ reductase; active site H113+C110; added from Attar et al. Science 2020
H3-3B,Histone H3.3 variant B,enzyme,nucleus,H3-H4 tetramer Cu2+ reductase; active site H113+C110; added from Attar et al. Science 2020
H3C1,Histone H3.1 (HIST1H3A),enzyme,nucleus,Replication-dependent H3; same H113/C110 active site; added from Attar et al. Science 2020
H4C1,Histone H4 (HIST1H4A),enzyme,nucleus,H3-H4 tetramer partner in Cu2+ reduction; added from Attar et al. Science 2020
